Protein	logFC	log10pval
Npnt	-3.618557013	3.658918629
Cpsf1	-3.39589077	2.16596067
Itpr3	-3.352454216	2.672973694
Cbx3	-2.964863756	2.885488719
Mtch2	-2.892062847	3.658500656
Dkc1	-2.717874155	2.860627837
Tra2a	-2.678401243	4.244679599
Tmed9	-2.605868618	3.950883817
Thrap3	-2.563816999	3.619987761
Phb	-2.21955958	2.424693921
Mprip	-2.09758622	1.515958484
Tmpo	-2.022347972	1.88447811
Poldip3	-2.005837206	2.438222686
Ddx17	-1.963755068	3.987472472
Padi4	-1.849343848	1.518717157
Vapa	-1.838997475	1.479159031
Eif2s3x	-1.814156747	2.526626819
Dhx15	-1.788603845	1.383530192
Ppib	-1.741089929	3.825425862
Top2b	-1.723288568	2.633020456
Hnrnph2	-1.635194664	2.267877517
Csnk1a1	-1.539283204	1.368271115
Phb2	-1.396822779	2.16927144
Mtco2	-1.395045449	3.500589661
Safb	-1.268789803	1.573474046
Krt77	-1.252821307	1.70604794
Eftud2	-1.236822093	3.223119081
Ccar2	-1.217854802	3.004333652
Rtcb	-1.212047514	2.044099574
Ndufs1	-1.204193191	2.528892316
Gnai2	-1.201479588	2.471931102
Syncrip	-1.07026279	3.212083931
Trmt61a	-1.054461486	2.736109197
Ppp1cb	-0.984343558	2.300404434
Nop58	-0.892420045	2.043770063
Rtraf	-0.88487162	1.317685099
Psap	-0.660810739	1.376639261
Rbl2	-0.65	2.535466834
Atp5o	-0.561794623	1.881972513
Krt6b	-0.479618485	2.04842949
Krt8	-0.468761857	1.603832687
Tnks1bp1	-0.467196974	1.472164719
Tax1bp1	-0.423154389	1.753547011
P4hb	-0.419728556	1.352729494
Ddx1	-0.39041591	1.828238469
Lin52	-0.31	1.473782231
Myl12a	0.253866741	1.341905531
Mfge8	0.313262222	1.535190193
Gstp1	0.318476622	1.491574274
Rack1	0.3225634	1.415727522
Calm1	0.367426587	1.684453538
Prdx6	0.371162307	1.409803157
Ezr	0.407820666	1.598139081
Ywhag	0.426109995	1.372870843
Lyz	0.441504955	1.686941777
Prdx1	0.475451979	1.933887409
Aco2	0.518836614	2.137533638
Mdh2	0.525745845	1.976800502
Rplp1	0.533424248	2.271944938
Lgb	0.556151333	2.342915615
Rps19	0.565297356	1.486172515
Vtn	0.579119667	2.372947155
Rps3a	0.590435309	1.825284409
Ppia	0.593291424	2.342762795
Ctsd	0.600176087	2.242063007
Pebp1	0.625645481	1.551468112
Mfap4	0.640673368	1.647564698
Mdh1	0.644539789	2.072083492
Rnh1	0.646057926	1.819580883
Akr1b1	0.67282005	1.564839617
Prdx5	0.674110472	2.56363961
Mif	0.709394512	2.423940514
Capg	0.713097487	1.603967095
Lrrc59	0.720186507	2.636068772
Tkt	0.755687931	2.682685192
Arpc4	0.800688696	2.837914272
Rpsa	0.802228635	2.576929731
Eif5a	0.831263234	1.930678144
Actn4	0.851088351	2.568576047
Rps10	0.865802505	2.689002559
Serpinb5	0.870587074	2.947771165
Atox1	0.890415142	2.125008419
Hpx	0.92760941	2.64850283
Pgd	0.936569551	2.114041865
Fus	0.944325942	1.818024864
Rps5	0.954750643	1.820237508
G6pdx	0.958610237	1.694155646
Rps5	0.989249254	2.889590585
Anxa4	1.030287637	3.093082538
Aldoa	1.048809588	3.191487206
Ldha	1.068182516	3.037774327
Rps29	1.094234526	1.377093363
Rps17	1.108942766	3.185328129
Acta2	1.244657809	3.346308042
Rab2a	1.280510593	2.162328082
Pgk1	1.294918415	3.232744928
Nme1	1.340801491	3.253610076
Myo1c	1.350565427	2.093086407
Anxa7	1.364722631	3.364592896
Cbr2	1.369866879	3.394163466
Esd	1.38503195	2.283473738
Gsta4	1.408053649	3.199922839
Anxa1	1.432844554	3.401776382
Ide	1.439934869	3.02779667
Flg	1.486475211	1.674184174
Gsto1	1.539320744	3.609699727
Pgam1	1.608605913	2.817912357
Sh3bgrl3	1.819924387	1.370605999
Anxa3	3.827287944	1.354083259
Gstm1	4.416915052	2.549955085
Agrn	0.149215878	0.411732176
Ahnak	0.312013403	1.235360839
Alyref	0.048525145	0.171526248
Ddost	-0.758531922	0.874979523
Nid2	-0.124723696	0.47265923
Ctsb	-0.353357865	1.152255711
Rpl7a	0.021560054	0.072502127
Gsn	0.528236983	1.218824684
Lgals3	-0.137271277	0.599446297
KRT4	-0.972436988	1.218578651
Ckmt1	-0.092673776	0.093292253
Cox7a2	-0.628719874	1.194311883
Rpl9	0.165717051	0.647789612
Hsd17b4	-0.123532466	0.37672255
Galc	-1.081307445	1.251523634
Rps7	-0.181252626	0.988765435
Snrpg	-0.310167367	1.276414072
Rpl18a	-0.247423086	0.311469633
Pfn1	0.425740222	0.636904786
Dhps	-1.181873543	0.51661491
Cep164	-0.75583355	0.764425654
Myl6	0.089392037	0.394084053
Pcbp2	0.130350262	0.637353809
Hist2h2aa1;Hist2h2ac	-0.414874965	0.740197522
Cltc	0.357040777	0.693414154
Tufm	-0.284761813	0.217013503
Hadha	0.018983969	0.011456391
KRT78	0.080813845	0.315366707
Eif4a3	-0.311504122	0.464301034
Hadhb	0.226630449	0.740649717
Etfa	0.421678638	1.224882439
Slc25a11	-1.369843138	0.623060454
Cs	0.215924041	0.366284139
Eef1g	0.128212795	0.11775302
Etfb	0.277828404	1.08486898
Rai14	-0.349357176	0.254315842
Anp32b	0.062808909	0.039735564
Ddx21	-1.557270531	1.041780613
Iqgap1	-0.520228373	0.430203261
Psma1	-0.349343167	1.02309237
